Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
97,28,1,118,7,Some Random Commen with Id 97
98,28,1,120,0,Some Random Commen with Id 98
99,28,1,176,0,Some Random Commen with Id 99
100,28,1,13,2,Some Random Commen with Id 100
101,28,1,106,8,Some Random Commen with Id 101
102,28,1,138,2,Some Random Commen with Id 102
103,28,1,176,9,Some Random Commen with Id 103
104,28,1,163,0,Some Random Commen with Id 104
105,30,4,186,8,Some Random Commen with Id 105
106,30,4,145,9,Some Random Commen with Id 106
107,30,4,123,4,Some Random Commen with Id 107
108,30,4,1,4,Some Random Commen with Id 108
109,30,4,150,9,Some Random Commen with Id 109
110,30,4,120,8,Some Random Commen with Id 110
111,30,4,17,9,Some Random Commen with Id 111
112,30,4,123,6,Some Random Commen with Id 112
113,30,4,17,5,Some Random Commen with Id 113
114,31,7,22,6,Some Random Commen with Id 114
115,31,7,82,5,Some Random Commen with Id 115
116,31,7,182,9,Some Random Commen with Id 116
117,32,1,105,9,Some Random Commen with Id 117
118,32,1,6,8,Some Random Commen with Id 118
119,32,1,92,7,Some Random Commen with Id 119
120,32,1,127,7,Some Random Commen with Id 120
121,32,1,81,5,Some Random Commen with Id 121
122,32,1,152,0,Some Random Commen with Id 122
123,32,1,3,5,Some Random Commen with Id 123
124,32,1,198,3,Some Random Commen with Id 124
125,33,3,109,0,Some Random Commen with Id 125
126,34,2,187,7,Some Random Commen with Id 126
127,34,2,183,9,Some Random Commen with Id 127
128,34,2,170,9,Some Random Commen with Id 128
129,34,2,89,6,Some Random Commen with Id 129
130,35,3,94,3,Some Random Commen with Id 130
131,35,3,72,4,Some Random Commen with Id 131
132,36,9,43,6,Some Random Commen with Id 132
133,36,9,165,1,Some Random Commen with Id 133
134,36,9,57,5,Some Random Commen with Id 134
135,36,9,69,5,Some Random Commen with Id 135
136,36,9,161,7,Some Random Commen with Id 136
137,36,9,36,0,Some Random Commen with Id 137
138,36,9,88,8,Some Random Commen with Id 138
139,37,1,71,2,Some Random Commen with Id 139
140,37,1,87,9,Some Random Commen with Id 140
141,37,1,125,6,Some Random Commen with Id 141
142,38,6,179,0,Some Random Commen with Id 142
143,38,6,124,8,Some Random Commen with Id 143
144,38,6,22,0,Some Random Commen with Id 144
145,38,6,181,4,Some Random Commen with Id 145
146,38,6,191,5,Some Random Commen with Id 146
147,38,6,194,1,Some Random Commen with Id 147
148,38,6,151,2,Some Random Commen with Id 148
149,39,3,198,1,Some Random Commen with Id 149
150,39,3,148,6,Some Random Commen with Id 150
151,39,3,154,4,Some Random Commen with Id 151
152,39,3,1,5,Some Random Commen with Id 152
153,39,3,117,5,Some Random Commen with Id 153
